dt,hour,hostid,mod,avg_value,max_value,min_value,sample_cnt
2026-07-01,0,host001,cpu_idle,68.84,68.84,68.84,1
2026-07-01,0,host001,cpu_sys,11.98,11.98,11.98,1
2026-07-01,0,host001,cpu_usage,43.87,43.87,43.87,1
2026-07-01,0,host001,cpu_user,21.70,21.70,21.70,1
2026-07-01,0,host001,cpu_wait,29.69,29.69,29.69,1
2026-07-01,0,host001,load1,5.41,5.41,5.41,1
2026-07-01,0,host001,load15,14.27,14.27,14.27,1
2026-07-01,0,host001,load5,12.43,12.43,12.43,1
2026-07-01,0,host001,mem_buff,73069.00,73069.00,73069.00,1
2026-07-01,0,host001,mem_cache,63200.00,63200.00,63200.00,1
2026-07-01,0,host001,mem_free,91864.00,91864.00,91864.00,1
2026-07-01,0,host001,mem_swap,59171.00,59171.00,59171.00,1
2026-07-01,0,host001,mem_used,90559.00,90559.00,90559.00,1
2026-07-01,0,host001,net_in,824.81,824.81,824.81,1
2026-07-01,0,host001,net_out,302.42,302.42,302.42,1
2026-07-01,0,host001,net_pktin,79873.00,79873.00,79873.00,1
2026-07-01,0,host001,net_pktout,74249.00,74249.00,74249.00,1
2026-07-01,0,host001,proc_block,156.00,156.00,156.00,1
2026-07-01,0,host001,proc_run,45.00,45.00,45.00,1
2026-07-01,0,host001,proc_total,477.00,477.00,477.00,1
2026-07-01,0,host002,cpu_idle,92.42,92.42,92.42,1
2026-07-01,0,host002,cpu_sys,39.50,39.50,39.50,1
2026-07-01,0,host002,cpu_usage,50.19,50.19,50.19,1
2026-07-01,0,host002,cpu_user,32.27,32.27,32.27,1
2026-07-01,0,host002,cpu_wait,10.17,10.17,10.17,1
2026-07-01,0,host002,load1,5.13,5.13,5.13,1
2026-07-01,0,host002,load15,2.47,2.47,2.47,1
2026-07-01,0,host002,load5,25.60,25.60,25.60,1
2026-07-01,0,host002,mem_buff,83814.00,83814.00,83814.00,1
2026-07-01,0,host002,mem_cache,128128.00,128128.00,128128.00,1
2026-07-01,0,host002,mem_free,33490.00,33490.00,33490.00,1
2026-07-01,0,host002,mem_swap,80967.00,80967.00,80967.00,1
2026-07-01,0,host002,mem_used,103921.00,103921.00,103921.00,1
2026-07-01,0,host002,net_in,551.08,551.08,551.08,1
2026-07-01,0,host002,net_out,2.46,2.46,2.46,1
2026-07-01,0,host002,net_pktin,88270.00,88270.00,88270.00,1
2026-07-01,0,host002,net_pktout,20676.00,20676.00,20676.00,1
2026-07-01,0,host002,proc_block,49.00,49.00,49.00,1
2026-07-01,0,host002,proc_run,110.00,110.00,110.00,1
2026-07-01,0,host002,proc_total,256.00,256.00,256.00,1
2026-07-01,0,host003,cpu_idle,86.02,86.02,86.02,1
2026-07-01,0,host003,cpu_sys,10.68,10.68,10.68,1
2026-07-01,0,host003,cpu_usage,53.19,53.19,53.19,1
